,ResNet18,ResNet50,ResNet101,DenseNet121,DenseNet169,DenseNet201,VGG11_BN,VGG16_BN,VGG19_BN
Fold,9.0,10.0,10.0,8.0,9.0,10.0,10.0,8.0,10.0
Epoch,5.0,11.0,6.0,2.0,12.0,2.0,6.0,1.0,16.0
Train Loss,0.008091713469654855,0.0076265524473282135,0.007799464619963173,0.008240703129538807,0.007957069569637557,0.007740577588055124,0.00774409124906978,0.008326714456163377,0.007931171064527688
Train Accuracy,0.18473282442748093,0.18167938931297709,0.20458015267175572,0.19389312977099238,0.19541984732824427,0.18931297709923664,0.17251908396946564,0.18473282442748093,0.19236641221374046
Train F1 Micro,0.6318520921180668,0.6077812828601472,0.6044723969252271,0.5947802197802198,0.6027111574556829,0.6078566505858028,0.6102739726027397,0.5868055555555556,0.6079943899018233
Train F1 Macro,0.2710495068765972,0.16641540318801504,0.1613609405328889,0.15986473284674205,0.16118515306697045,0.1886169348328316,0.1970198270048946,0.1490589770110647,0.1536686123204947
Train Precision Micro,0.7295880149812735,0.7775784753363228,0.7702582368655387,0.7550130775937227,0.7645502645502645,0.7723292469352014,0.7595907928388747,0.7626353790613718,0.7768817204301075
Train Precision Macro,0.43565836944704234,0.2916759984445737,0.2971299795863931,0.30023679617872184,0.28216523733311993,0.3328915777726968,0.38210940029076784,0.24956096344687742,0.3075598940657756
Train Recall Micro,0.5572082379862701,0.498849252013809,0.4974123059229442,0.4906515580736544,0.4974182444061962,0.5011363636363636,0.5100171722953635,0.47686230248307,0.49942396313364057
Train Recall Macro,0.22630845817988784,0.14143139338955002,0.13964244077403934,0.1397876801123703,0.14097438829971842,0.15800037558896604,0.16398324956268287,0.13102845807351485,0.13402747195695108
Val Loss,0.0007805222904173839,0.0009089113511606292,0.0008789787102270323,0.000802355894032338,0.0008245325728000604,0.0006753999478551348,0.0007189007826979584,0.0008006325450199343,0.0008700431787000233
Val Accuracy,0.2916666666666667,0.25,0.16666666666666666,0.2777777777777778,0.2222222222222222,0.2777777777777778,0.3055555555555556,0.3333333333333333,0.25
Val F1 Micro,0.7146666666666668,0.657142857142857,0.6458923512747876,0.6769230769230768,0.6627565982404692,0.7129337539432176,0.7041420118343196,0.6508474576271186,0.6935483870967742
Val F1 Macro,0.24931453144465623,0.22117200994751435,0.1683998638544093,0.20296757013624483,0.12961654834903102,0.2284241423047393,0.1993520266291495,0.11646570636410743,0.2619408458445891
Val Precision Micro,0.7613636363636364,0.8156028368794326,0.7862068965517242,0.7692307692307693,0.8248175182481752,0.8692307692307693,0.8623188405797102,0.8,0.8012422360248447
Val Precision Macro,0.2940511101801424,0.36788617886178865,0.2482704718519015,0.2808466155057064,0.18180989881999132,0.289194980104071,0.321534257531325,0.15082364341085272,0.3158526553412917
Val Recall Micro,0.6733668341708543,0.5502392344497608,0.5480769230769231,0.6043956043956044,0.553921568627451,0.6042780748663101,0.595,0.5485714285714286,0.6113744075829384
Val Recall Macro,0.26837171449240416,0.19017637357973494,0.15247580702126157,0.18445923180592994,0.12446551906181848,0.20048532478873035,0.17447501329080276,0.11543317793317795,0.2596634755231593
