,ResNet18,ResNet50,ResNet101,DenseNet121,DenseNet169,DenseNet201,VGG11_BN,VGG16_BN,VGG19_BN
Fold,7,10,9,9,8,9,7,9,10
Epoch,1,3,21,1,1,2,1,1,1
Train Loss,0.006527,0.006042,0.005905,0.005862,0.005642,0.00339,0.015931,0.016132,0.016115
Train Accuracy,0.19419,0.384733,0.549618,0.254962,0.312977,0.412214,0.151376,0.158779,0.131298
Train F1 Micro,0.707229,0.812034,0.883382,0.733876,0.777941,0.835812,0.644767,0.656075,0.658844
Train F1 Macro,0.694193,0.675932,0.742712,0.735087,0.801028,0.868632,0.628943,0.636269,0.64308
Train Precision Micro,0.743038,0.822403,0.901786,0.755835,0.797354,0.845428,0.652737,0.66967,0.661494
Train Precision Macro,0.773378,0.693642,0.762203,0.784123,0.840392,0.876579,0.658706,0.678988,0.687258
Train Recall Micro,0.674713,0.801924,0.865714,0.713156,0.75945,0.826413,0.63699,0.643022,0.656214
Train Recall Macro,0.637192,0.663033,0.726736,0.696648,0.768688,0.867481,0.609181,0.608382,0.614644
Val Loss,0.000513,0.000397,0.000506,0.00035,0.000228,0.000168,0.000342,0.000336,0.000275
Val Accuracy,0.356164,0.611111,0.458333,0.416667,0.611111,0.694444,0.438356,0.555556,0.555556
Val F1 Micro,0.829384,0.913295,0.869565,0.852547,0.908163,0.939815,0.877108,0.900222,0.878453
Val F1 Macro,0.764596,0.802611,0.695535,0.755336,0.837325,0.781473,0.73268,0.847074,0.75329
Val Precision Micro,0.813953,0.951807,0.876289,0.807107,0.931937,0.926941,0.870813,0.852941,0.940828
Val Precision Macro,0.791075,0.836147,0.719385,0.731285,0.844552,0.764943,0.763338,0.875401,0.779821
Val Recall Micro,0.845411,0.877778,0.862944,0.903409,0.885572,0.953052,0.883495,0.953052,0.823834
Val Recall Macro,0.785989,0.783533,0.684129,0.794114,0.853153,0.803237,0.721486,0.849029,0.741254
