,ResNet18,ResNet50,ResNet101,DenseNet121,DenseNet169,DenseNet201,VGG11_BN,VGG16_BN,VGG19_BN
Fold,4.0,2.0,1.0,3.0,10.0,10.0,3.0,0,3.0
Epoch,8.0,2.0,15.0,8.0,2.0,21.0,8.0,0,8.0
Train Loss,0.009992763420574603,0.010139354403442005,0.010094332440847216,0.01006378995913095,0.009805383265756347,0.009201865740622582,0.010061587600301352,0,0.010111272949955978
Train Accuracy,0.0672782874617737,0.0672782874617737,0.0581039755351682,0.0779816513761468,0.07786259541984733,0.07938931297709924,0.06574923547400612,0,0.09327217125382263
Train F1 Micro,0.4983388704318936,0.4745057232049948,0.5121152586771447,0.501453957996769,0.47517730496453897,0.5276315789473683,0.46787709497206703,0,0.42701688555347095
Train F1 Macro,0.06902590286094255,0.06428102458348205,0.0679017901790179,0.07859502484741515,0.10600296348666385,0.14047622098224644,0.06956430554204886,0,0.061572322728683494
Train Precision Micro,0.6063055780113177,0.6037069726390115,0.5978593272171254,0.5812734082397004,0.6261682242990654,0.6212238574748257,0.6041478809738503,0,0.6105150214592274
Train Precision Macro,0.06635061736752355,0.054357881563763914,0.054350847928829576,0.14004444916743097,0.2319707572213219,0.41827735320544374,0.07170517585960651,0,0.0703762905017473
Train Recall Micro,0.4230118443316413,0.39085714285714285,0.44788087056128295,0.4409090909090909,0.38285714285714284,0.4585477415666095,0.3817663817663818,0,0.328332371609925
Train Recall Macro,0.08531831131831132,0.07864618688963836,0.09090909090909091,0.09270268223309666,0.09824493759402345,0.130832970641041,0.07675344999288661,0,0.06460649776460352
Val Loss,0.0009948919736043624,0.0010538510722012107,0.0010490776789073603,0.001030806375172968,0.0010881084933405565,0.0010222425937980537,0.0011105664904540638,0,0.0011374599913947356
Val Accuracy,0.1095890410958904,0.0547945205479452,0.1917808219178082,0.0684931506849315,0.09722222222222222,0.08333333333333333,0.1095890410958904,0,0.0821917808219178
Val F1 Micro,0.5750636132315522,0.5597667638483965,0.6190476190476191,0.5645645645645645,0.5721925133689838,0.603550295857988,0.559610705596107,0,0.5912240184757505
Val F1 Macro,0.09235764472542723,0.07164462072879442,0.10005752672991094,0.08042447086611797,0.13475121630201842,0.122931304086365,0.0929214748511451,0,0.09965152071979087
Val Precision Micro,0.5159817351598174,0.6575342465753424,0.593607305936073,0.6438356164383562,0.6045197740112994,0.7285714285714285,0.5251141552511416,0,0.5844748858447488
Val Precision Macro,0.07036114570361146,0.0597758405977584,0.08094645080946451,0.10368237166182372,0.18303424943021077,0.18679653679653677,0.07160647571606477,0,0.07970112079701121
Val Recall Micro,0.6494252873563219,0.4873096446700508,0.6467661691542289,0.5026737967914439,0.5431472081218274,0.5151515151515151,0.5989583333333334,0,0.5981308411214953
Val Recall Macro,0.13636363636363635,0.09090909090909091,0.13636363636363635,0.09659090909090909,0.13770394370205247,0.11897341788646137,0.13636363636363635,0,0.13636363636363635
