,ResNet18,ResNet50,ResNet101,DenseNet121,DenseNet169,DenseNet201,VGG11_BN,VGG16_BN,VGG19_BN
Fold,10.0,10.0,1.0,6.0,6.0,7.0,5.0,8.0,3.0
Epoch,10.0,1.0,8.0,1.0,7.0,1.0,6.0,13.0,2.0
Train Loss,0.012761479968709827,0.010117585856616087,0.010161024073787044,0.009831876321048816,0.012726590959701118,0.009712222825218263,0.010196851036079648,0.010113090543176318,0.010204666254444989
Train Accuracy,0.0,0.08549618320610687,0.05963302752293578,0.07339449541284404,0.0030581039755351682,0.0856269113149847,0.0581039755351682,0.09465648854961832,0.0779816513761468
Train F1 Micro,0.0202020202020202,0.4799726121191372,0.48362039851401556,0.5084860828241683,0.06215921483097056,0.4918825561312607,0.4528028933092224,0.4420898794300329,0.46846846846846846
Train F1 Macro,0.004261363636363637,0.06735906178786179,0.07518277796980723,0.09993158236138022,0.04277191091417213,0.12303558858208384,0.06279974260634905,0.06367611843901373,0.0701231829575364
Train Precision Micro,0.6,0.6043103448275862,0.5927152317880795,0.6179867986798679,0.6404494382022472,0.6175195143104943,0.6185770750988142,0.6123481781376519,0.5966460723742277
Train Precision Macro,0.02727272727272727,0.07078692458940551,0.07482394163516098,0.22062798210550605,0.2281582054309327,0.18938010740516606,0.06704472713657829,0.11400061053056197,0.1197164433497281
Train Recall Micro,0.010273972602739725,0.3980692788188529,0.40844266970907017,0.43194925028835063,0.032664756446991405,0.4087256027554535,0.35710211066742725,0.34591194968553457,0.38562464346833997
Train Recall Macro,0.0023112480739599386,0.08059283637782753,0.08491149998327031,0.1029564889188205,0.025490756461480656,0.11316855743376944,0.07135115142760334,0.06890941252786908,0.07886961014813448
Val Loss,0.0015525112371825123,0.001005865008335822,0.0010259762467839531,0.0011003711241639464,0.0014461003848578284,0.0010062437273941145,0.0011108948079231189,0.0011340457602740973,0.0010457437746790449
Val Accuracy,0.041666666666666664,0.1111111111111111,0.0684931506849315,0.0547945205479452,0.0,0.0410958904109589,0.0821917808219178,0.125,0.1095890410958904
Val F1 Micro,0.299625468164794,0.5878787878787879,0.5705882352941176,0.5783783783783785,0.27941176470588236,0.5649717514124294,0.5907990314769975,0.5845410628019325,0.5956416464891041
Val F1 Macro,0.03246753246753247,0.07313315043782179,0.07226408102766799,0.1346682831057831,0.07382179675994109,0.142979192063743,0.09657192807192808,0.09675172931941244,0.0961506056968242
Val Precision Micro,0.5555555555555556,0.6736111111111112,0.6643835616438356,0.6815286624203821,0.5428571428571428,0.6711409395973155,0.5570776255707762,0.5601851851851852,0.5616438356164384
Val Precision Macro,0.025252525252525252,0.06123737373737374,0.060398505603985055,0.22753661863250904,0.16188197767145135,0.19637826961770627,0.0759651307596513,0.0763888888888889,0.07658779576587794
Val Recall Micro,0.20512820512820512,0.521505376344086,0.5,0.5023474178403756,0.18811881188118812,0.4878048780487805,0.6288659793814433,0.6111111111111112,0.634020618556701
Val Recall Macro,0.045454545454545456,0.09090909090909091,0.09090909090909091,0.1285714285714286,0.06354478854478854,0.14003727753727754,0.13636363636363635,0.13636363636363635,0.13636363636363635
